Critical to Quality (Virtual assistant),Prozess,Beschreibung des Prozesses (Gruppe),Gefährdung,Gefährdungssituation,Schaden,Eintretenswahrscheinlichkeit,Schweregrad,Massnahme zur Risikominderung,Verbleibende Eintretens-wahrscheinlichkeit,Verbleibender Schweregrad
Ja,CT-Scan Orbita Rekon,Scan-Protokoll für die Erstellung medizinischer Bilddaten,CT Scan-Protokoll wird nicht eingehalten,Geometrische Abweichungen bei den Bilddaten,Schlechte Passgenauigkeit,3,2,"Ingeniuer (später die Software) macht Abgleich zwischen Vorgabe und Ist. Warnung falls falsches Protokoll vorliegt. Schriftliche Erfassung, dass Arzt über Abweichungen im Scan-Protokoll informiert wurde. Arzt kann unter Eigenverantwortung die Planung fortsetzen.",1,2
Ja,CT-Daten Segmentierung Orbita,Segmentierungs-Protokoll für die Segmentierung der anatomischen Bereiches aus den medizinischen Bilddaten,Segmentierungs-Protokoll wird nicht eingehalten,Geometrische Abweichungen des segmentierten anatomischen Bereiches,Schlechte Passgenauigkeit,3,2,,,
Ja,3D Patientenanatomie,Erstellung und Rekonstruktion der 3D Patientenanatomie auf Basis der segmentierten Bilddaten,Beim Mirroring der Anatomie wirdx die Symmetrie nicht eingehalten.,Geometrische Abweichungen des anatomischen Bereiches,Schlechte Passgenauigkeit,3,2,,,
Ja,Implantatdesign Matching,Erstellung 3D Implantatgeometrie auf Basis der Designvorgaben auf der 3D Patientenanatomie,"Designvorgabe ""Mindestdicke"" kann nicht eingehalten werden",Implantat bricht aufgrund der zu kleinen Mindestdicke,Zweitoperation,3,3,Report mit Begründung der Abweichung der Spezifikation und den individuellen Einfluss auf die Wirksamkeit durch den behandelnden Arzt,,
Ja,Implantatdesign Matching,Erstellung 3D Implantatgeometrie auf Basis der Designvorgaben auf der 3D Patientenanatomie,"Designvorgabe ""Mindestdicke"" kann nicht eingehalten werden",Implantat bleibt nicht formstabil bei der Implantierung was zu einer schlechten Passgenauigkeit führt,Schädigung der Weichteile / Sehnervs,3,4,Report mit Begründung der Abweichung der Spezifikation und den individuellen Einfluss auf die Wirksamkeit durch den behandelnden Arzt,,
Ja,Implantatdesign Matching,Erstellung 3D Implantatgeometrie auf Basis der Designvorgaben auf der 3D Patientenanatomie,"Designvorgabe ""Anzahl Schraubenlöcher"" kann nicht eingehalten werden","Implantat löst sich nach der Implantation unter Last, aufgrund ungenügender Verankerung",Schädigung der Weichteile / Sehnervs,3,4,Report mit Begründung der Abweichung der Spezifikation und den individuellen Einfluss auf die Wirksamkeit durch den behandelnden Arzt,,
Ja,Implantatdesign Matching,Erstellung 3D Implantatgeometrie auf Basis der Designvorgaben auf der 3D Patientenanatomie,"Designvorgabe ""Platzierung der Schraubenlöcher"" kann nicht eingehalten werden",Implantat bricht aufgrund der zu nahen Schrauben am Implantatrand ,Zweitoperation,3,3,Report mit Begründung der Abweichung der Spezifikation und den individuellen Einfluss auf die Wirksamkeit durch den behandelnden Arzt,,
Ja,Implantatdesign Matching,Erstellung 3D Implantatgeometrie auf Basis der Designvorgaben auf der 3D Patientenanatomie,"Designvorgabe ""Schraubentyp/Durchmesser/Länge"" kann nicht eingehalten werden",Stabilitätsverlust bei Fixierung weil Schraubentyp und -dimension nicht zur Implantatdimension und dem zu erwartenden Lastfall passen,"Verlängerung der OP, Leiden des Patienten",3,2,Report mit Begründung der Abweichung der Spezifikation und den individuellen Einfluss auf die Wirksamkeit durch den behandelnden Arzt,,
Ja,Pre-Processing for SLM Titan Orbita,Planung des SLM Baujob auf Basis der Pre-Processing SLM  Vorgabe,"Pre-Processing SLM Vorgabe ""Platzierung der Bauteile"" kann nicht eingehalten werden.","Reduzierte mechansiche Festigkeit durch Schweissspritzer von benachbarten Teilen, welche zu Gefügefehler führen",Bruch des Implantates -> Zweitoperation,3,3,"Zum Luftstrom hin diagonale Platzierung der Implantate auf der BauplattformSchweissspritzer haben keinen kritischen Einfluss",,
Ja,Pre-Processing for SLM Titan Orbita,Planung des SLM Baujob auf Basis der Pre-Processing SLM  Vorgabe,"Pre-Processing SLM Vorgabe ""Supportstrategie"" kann nicht eingehalten werden.",Mangelnde Supportstruktur führt zu Verzug der Implantatgeometrie ,Schlechte Passgenauigkeit,4,4,,,
